timestamp,raw,buttons,analogs
2026-05-16T12:25:20.307,01025500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,85,0,0"
2026-05-16T12:25:20.307,01025600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,86,0,0"
2026-05-16T12:25:20.307,01025700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,87,0,0"
2026-05-16T12:25:20.307,01025800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,88,0,0"
2026-05-16T12:25:20.407,01025900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,89,0,0"
2026-05-16T12:25:20.407,01025a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,90,0,0"
2026-05-16T12:25:20.407,01025b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,91,0,0"
2026-05-16T12:25:20.407,01025c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,92,0,0"
2026-05-16T12:25:20.407,01025d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,93,0,0"
2026-05-16T12:25:20.407,01025e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,94,0,0"
2026-05-16T12:25:20.407,01025f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,95,0,0"
2026-05-16T12:25:20.407,01026000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,96,0,0"
2026-05-16T12:25:20.407,01026100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,97,0,0"
2026-05-16T12:25:20.407,01026200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,98,0,0"
2026-05-16T12:25:20.407,01026300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,99,0,0"
2026-05-16T12:25:20.407,01026400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,100,0,0"
2026-05-16T12:25:20.407,01026500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,101,0,0"
2026-05-16T12:25:20.408,01026600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,102,0,0"
2026-05-16T12:25:20.408,01026700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,103,0,0"
2026-05-16T12:25:20.408,01026800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,104,0,0"
2026-05-16T12:25:20.408,01026900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,105,0,0"
2026-05-16T12:25:20.408,01026a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,106,0,0"
2026-05-16T12:25:20.408,01026b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,107,0,0"
2026-05-16T12:25:20.408,01026c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,108,0,0"
2026-05-16T12:25:20.408,01026d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,109,0,0"
2026-05-16T12:25:20.408,01026e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,110,0,0"
2026-05-16T12:25:20.408,01026f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,111,0,0"
2026-05-16T12:25:20.408,01027000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,112,0,0"
2026-05-16T12:25:20.508,01027100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,113,0,0"
2026-05-16T12:25:20.508,01027200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,114,0,0"
2026-05-16T12:25:20.508,01027300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,115,0,0"
2026-05-16T12:25:20.508,01027400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,116,0,0"
2026-05-16T12:25:20.508,01027500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,117,0,0"
2026-05-16T12:25:20.508,01027600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,118,0,0"
2026-05-16T12:25:20.508,01027700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,119,0,0"
2026-05-16T12:25:20.508,01027800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,120,0,0"
2026-05-16T12:25:20.508,01027900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,121,0,0"
2026-05-16T12:25:20.508,01027a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,122,0,0"
2026-05-16T12:25:20.508,01027b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,123,0,0"
2026-05-16T12:25:20.508,01027c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,124,0,0"
2026-05-16T12:25:20.508,01027d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,125,0,0"
2026-05-16T12:25:20.608,01027e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,126,0,0"
2026-05-16T12:25:20.609,01027f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,127,0,0"
2026-05-16T12:25:20.609,01028000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,128,0,0"
2026-05-16T12:25:20.609,01028100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,129,0,0"
2026-05-16T12:25:20.609,01028200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,130,0,0"
2026-05-16T12:25:20.609,01028300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,131,0,0"
2026-05-16T12:25:21.009,01028400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,132,0,0"
2026-05-16T12:25:21.009,01028500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,133,0,0"
2026-05-16T12:25:21.009,01028600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,134,0,0"
2026-05-16T12:25:21.009,01028700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,135,0,0"
2026-05-16T12:25:21.009,01028800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,136,0,0"
2026-05-16T12:25:21.009,01028900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,137,0,0"
2026-05-16T12:25:21.009,01028a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,138,0,0"
