timestamp,raw,first6,event_type,event_target,event_value,buttons,analogs
2026-05-16T12:51:53.434,01006b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01006b,dial,Dial 1,107,"1,0,0,0","107,0,0,0"
2026-05-16T12:51:53.434,01006a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01006a,dial,Dial 1,106,"1,0,0,0","106,0,0,0"
2026-05-16T12:51:53.434,01006900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010069,dial,Dial 1,105,"1,0,0,0","105,0,0,0"
2026-05-16T12:51:53.434,01006800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010068,dial,Dial 1,104,"1,0,0,0","104,0,0,0"
2026-05-16T12:51:53.435,01006700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010067,dial,Dial 1,103,"1,0,0,0","103,0,0,0"
2026-05-16T12:51:53.435,01006600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010066,dial,Dial 1,102,"1,0,0,0","102,0,0,0"
2026-05-16T12:51:53.435,01006500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010065,dial,Dial 1,101,"1,0,0,0","101,0,0,0"
2026-05-16T12:51:53.435,01006400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010064,dial,Dial 1,100,"1,0,0,0","100,0,0,0"
2026-05-16T12:51:53.435,01006300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010063,dial,Dial 1,99,"1,0,0,0","99,0,0,0"
2026-05-16T12:51:53.435,01006200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010062,dial,Dial 1,98,"1,0,0,0","98,0,0,0"
2026-05-16T12:51:53.435,01006100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010061,dial,Dial 1,97,"1,0,0,0","97,0,0,0"
2026-05-16T12:51:53.435,01006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010060,dial,Dial 1,96,"1,0,0,0","96,0,0,0"
2026-05-16T12:51:53.435,01005f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01005f,dial,Dial 1,95,"1,0,0,0","95,0,0,0"
2026-05-16T12:51:53.435,01005e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01005e,dial,Dial 1,94,"1,0,0,0","94,0,0,0"
2026-05-16T12:51:53.435,01005d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01005d,dial,Dial 1,93,"1,0,0,0","93,0,0,0"
2026-05-16T12:51:53.435,01005c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01005c,dial,Dial 1,92,"1,0,0,0","92,0,0,0"
2026-05-16T12:51:53.535,01005b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01005b,dial,Dial 1,91,"1,0,0,0","91,0,0,0"
2026-05-16T12:51:53.535,01005a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01005a,dial,Dial 1,90,"1,0,0,0","90,0,0,0"
2026-05-16T12:51:53.535,01005900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010059,dial,Dial 1,89,"1,0,0,0","89,0,0,0"
2026-05-16T12:51:53.535,01005800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010058,dial,Dial 1,88,"1,0,0,0","88,0,0,0"
2026-05-16T12:51:53.535,01005700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010057,dial,Dial 1,87,"1,0,0,0","87,0,0,0"
2026-05-16T12:51:53.535,01005600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010056,dial,Dial 1,86,"1,0,0,0","86,0,0,0"
2026-05-16T12:51:53.535,01005500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010055,dial,Dial 1,85,"1,0,0,0","85,0,0,0"
2026-05-16T12:51:53.535,01005400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010054,dial,Dial 1,84,"1,0,0,0","84,0,0,0"
